t_s,status,mg
0.063,ST,-5957.3004
0.349,ST,-5957.2
0.636,US,-5957.1
0.924,ST,-5957.1
1.209,US,-5956.8
1.497,US,-5956.6996
1.784,US,-5956.6
2.070,US,-5956.5
2.357,US,-5956.4
2.645,ST,-5956.4
2.932,ST,-5956.4
3.218,ST,-5956.5
3.506,ST,-5956.6
3.793,US,-5956.6996
4.078,US,-5957.1
4.366,US,-5957.3004
4.654,US,-5957.5
4.939,US,-5957.6996
5.227,US,-5957.9
5.514,US,-5958.0
5.800,US,-5958.2
6.087,US,-5958.3004
6.375,US,-5958.4
6.660,ST,-5958.5
6.948,ST,-5958.6
7.236,ST,-5958.6
7.521,ST,-5958.5
7.809,ST,-5958.4
8.096,US,-5958.3004
8.382,US,-5957.9
8.669,US,-5957.6
8.957,US,-5957.2
9.242,US,-5956.6996
9.530,US,-5956.3
9.817,US,-5955.9004
10.103,US,-5955.6996
10.390,US,-5955.5996
10.678,ST,-5955.5996
10.963,US,-5955.9004
11.251,US,-5956.3
11.539,US,-5956.8
11.826,US,-5957.2
12.112,US,-5957.5
12.399,US,-5957.8
12.687,US,-5958.0
12.972,US,-5958.0996
13.260,ST,-5958.2
13.547,ST,-5958.0996
13.833,ST,-5958.0996
14.120,ST,-5958.0996
14.408,ST,-5958.0996
14.694,ST,-5958.0996
14.981,ST,-5958.0996
15.269,ST,-5958.0996
15.554,ST,-5958.0996
15.842,ST,-5958.0996
16.129,ST,-5958.0996
16.415,ST,-5958.0996
16.703,ST,-5958.0
16.990,US,-5957.5
17.275,US,-5957.4
17.563,US,-5957.2
17.850,US,-5957.0
18.136,US,-5956.9
18.423,ST,-5956.8
18.711,ST,-5956.9
18.997,US,-5957.0
19.284,US,-5957.1
19.572,US,-5957.2
19.857,US,-5957.6
20.145,US,-5957.8
20.432,US,-5958.0
20.720,US,-5958.0996
21.005,ST,-5958.0996
21.293,ST,-5958.0996
21.580,ST,-5958.0996
21.866,ST,-5958.0996
22.154,ST,-5958.0996
22.441,ST,-5958.0996
22.727,ST,-5958.0996
23.014,ST,-5958.2
23.302,US,-5958.7
23.587,US,-5958.9
23.875,US,-5959.1996
24.162,US,-5959.1996
24.447,US,-5954.1
24.735,US,-5952.7
25.023,US,-5952.1996
25.308,US,-5952.0996
25.596,US,-5951.9
25.883,US,-5951.7
26.169,US,-5951.6
26.457,US,-5951.4
26.744,US,-5951.3004
27.030,US,-5951.1
27.317,US,-5951.0
27.605,ST,-5951.0
27.890,ST,-5951.1
28.178,US,-5951.3004
28.465,US,-5951.4
28.753,US,-5951.8
29.038,US,-5952.0996
29.326,US,-5952.5
29.613,US,-5952.9
29.899,US,-5953.4
30.187,US,-5953.8004
30.474,US,-5954.3
