t_s,status,mg
0.038,ST,-5982.9
0.325,ST,-5982.9
0.611,ST,-5982.9
0.898,ST,-5982.9
1.186,ST,-5982.9
1.474,ST,-5982.9
1.759,ST,-5982.9
2.046,ST,-5982.9
2.334,ST,-5982.9
2.620,ST,-5982.9
2.907,ST,-5982.9
3.195,ST,-5982.9
3.480,ST,-5982.9
3.768,ST,-5982.9
4.055,ST,-5982.9
4.341,ST,-5982.9
4.628,ST,-5982.9
4.916,ST,-5982.9
5.201,ST,-5982.9
5.489,ST,-5982.9
5.777,ST,-5982.9
6.062,ST,-5982.9
6.350,ST,-5982.9
6.637,ST,-5982.9
6.923,ST,-5982.9
7.210,ST,-5982.9
7.498,ST,-5982.9
7.783,ST,-5982.8
8.071,ST,-5982.8
8.358,ST,-5982.8
8.646,ST,-5982.8
8.931,ST,-5982.8
9.219,ST,-5982.8
9.506,ST,-5982.8
9.792,ST,-5982.8
10.080,ST,-5982.6996
10.367,ST,-5982.6996
10.653,ST,-5982.6996
10.940,ST,-5982.6996
11.228,ST,-5982.6996
11.513,ST,-5982.6996
11.801,ST,-5982.6996
12.088,ST,-5982.6996
12.374,ST,-5982.6996
12.662,ST,-5982.6996
12.949,ST,-5982.6996
13.235,ST,-5982.6996
13.522,ST,-5982.6996
13.810,ST,-5982.6996
14.095,ST,-5982.6996
14.383,ST,-5982.8
14.670,ST,-5982.8
14.956,ST,-5982.8
15.243,ST,-5982.8
15.531,ST,-5982.8
15.817,ST,-5982.8
16.104,ST,-5982.6996
16.391,ST,-5982.6996
16.679,ST,-5982.6996
16.965,ST,-5982.6996
17.252,ST,-5982.6996
17.540,ST,-5982.6996
17.825,ST,-5982.6996
18.113,ST,-5982.6
18.400,ST,-5982.6
18.686,ST,-5982.6
18.973,ST,-5982.6
19.261,ST,-5982.6
19.546,ST,-5982.6
19.834,ST,-5982.6
20.121,ST,-5982.6
20.407,ST,-5982.6
20.695,ST,-5982.6
20.982,ST,-5982.6
21.268,ST,-5982.6
21.555,ST,-5982.6
21.843,ST,-5982.6
22.128,ST,-5982.6
22.416,ST,-5982.6
22.703,ST,-5982.6
22.989,ST,-5982.6
23.276,ST,-5982.6
23.564,ST,-5982.6
23.849,ST,-5982.6996
24.137,ST,-5982.6996
24.424,ST,-5982.6996
24.712,ST,-5982.6996
24.998,ST,-5982.6996
25.285,ST,-5982.6996
25.573,ST,-5982.6
25.858,ST,-5982.6
26.146,ST,-5982.6
26.433,ST,-5982.6
26.719,ST,-5982.6
27.006,ST,-5982.6
27.294,ST,-5982.6
27.580,ST,-5982.6
27.867,ST,-5982.5
28.154,ST,-5982.5
28.440,ST,-5982.5
28.727,ST,-5982.5
29.015,ST,-5982.5
29.301,ST,-5982.5
29.588,ST,-5982.5
29.876,ST,-5982.4
30.161,ST,-5982.4
30.449,ST,-5982.4
30.736,ST,-5982.5
31.022,ST,-5982.5
31.309,ST,-5982.5
31.597,ST,-5982.5
31.885,ST,-5982.5
32.170,ST,-5982.6
32.458,ST,-5982.6
32.745,ST,-5982.6
33.031,ST,-5982.6
33.318,ST,-5982.6
33.606,ST,-5982.6
33.891,ST,-5982.6
34.179,ST,-5982.6
34.466,ST,-5982.6
34.752,ST,-5982.6
35.039,ST,-5982.5
35.327,ST,-5982.5
35.612,ST,-5982.5
35.900,ST,-5982.5
36.188,ST,-5982.5
36.473,ST,-5982.5
36.761,ST,-5982.4
37.048,ST,-5982.4
37.334,ST,-5982.4
37.621,ST,-5982.4
37.909,ST,-5982.4
38.194,ST,-5982.4
38.482,ST,-5982.3
38.769,ST,-5982.3
39.055,ST,-5982.3
39.342,ST,-5982.3
39.630,ST,-5982.3
39.918,ST,-5982.3
40.203,ST,-5982.3
40.491,ST,-5982.3
40.778,ST,-5982.3
41.064,ST,-5982.3
41.351,ST,-5982.3
41.639,ST,-5982.3
41.924,ST,-5982.3
42.212,ST,-5982.3
42.499,ST,-5982.3
42.785,ST,-5982.3
43.073,ST,-5982.3
43.360,ST,-5982.3
43.645,ST,-5982.3
43.933,ST,-5982.3
44.221,ST,-5982.3
44.506,ST,-5982.3
44.794,ST,-5982.3
45.081,ST,-5982.3
45.367,ST,-5982.3
45.654,ST,-5982.3
45.942,ST,-5982.3
46.227,ST,-5982.3
46.515,ST,-5982.3
46.802,ST,-5982.2
47.090,ST,-5982.2
47.375,ST,-5982.2
47.663,ST,-5982.2
47.951,ST,-5982.2
48.236,ST,-5982.2
48.524,ST,-5982.2
48.811,ST,-5982.2
49.097,ST,-5982.2
49.384,ST,-5982.2
49.672,ST,-5982.2
49.957,ST,-5982.2
50.245,ST,-5982.2
50.532,ST,-5982.1
50.818,ST,-5982.1
51.106,ST,-5982.1
51.393,ST,-5982.1
51.679,ST,-5982.1
51.966,ST,-5982.1
52.254,ST,-5982.1
52.539,ST,-5982.1
52.827,ST,-5982.1
53.114,ST,-5982.1
53.400,ST,-5982.2
53.687,ST,-5982.2
53.975,ST,-5982.2
54.260,ST,-5982.2
54.548,ST,-5982.2
54.835,ST,-5982.2
55.123,ST,-5982.2
55.409,ST,-5982.2
55.696,ST,-5982.2
55.984,ST,-5982.2
56.269,ST,-5982.2
56.557,ST,-5982.2
56.844,ST,-5982.2
57.130,ST,-5982.2
57.417,ST,-5982.2
57.705,ST,-5982.2
57.990,ST,-5982.2
58.278,ST,-5982.2
58.566,ST,-5982.2
58.851,ST,-5982.2
59.139,ST,-5982.2
59.426,ST,-5982.2
59.712,ST,-5982.2
60.000,ST,-5982.2
60.287,ST,-5982.2
60.572,ST,-5982.1
60.860,ST,-5982.1
61.147,ST,-5982.1
61.433,ST,-5982.1
61.720,ST,-5982.1
62.008,ST,-5982.1
62.294,ST,-5982.1
62.581,ST,-5982.1
62.869,ST,-5982.1
63.156,ST,-5982.1
63.442,ST,-5982.1
63.729,ST,-5982.1
64.017,ST,-5982.1
64.302,ST,-5982.1
64.590,ST,-5982.1
64.877,ST,-5982.0
65.163,ST,-5982.0
65.450,ST,-5982.0
65.738,ST,-5982.0
66.023,ST,-5982.0
66.311,ST,-5982.0
66.599,ST,-5982.0
66.884,ST,-5982.0
67.172,ST,-5982.0
67.459,ST,-5982.0
67.745,ST,-5982.0
68.032,ST,-5982.0
68.320,ST,-5982.0
68.605,ST,-5982.0
68.893,ST,-5982.0
69.180,ST,-5982.0
69.466,ST,-5982.0
69.753,ST,-5982.0
70.041,ST,-5982.0
70.329,ST,-5982.0
70.614,ST,-5982.0
70.902,ST,-5982.0
71.189,ST,-5981.9004
71.475,ST,-5981.9004
71.762,ST,-5981.9004
72.050,ST,-5981.9004
72.335,ST,-5981.9004
72.623,ST,-5981.9004
72.910,ST,-5981.9004
73.196,ST,-5981.9004
73.484,ST,-5981.9004
73.771,ST,-5981.9004
74.057,ST,-5981.9004
74.344,ST,-5981.9004
74.632,ST,-5981.9004
74.917,ST,-5981.8004
75.205,ST,-5981.8004
75.492,ST,-5981.8004
75.778,ST,-5981.8004
76.065,ST,-5981.8004
76.353,ST,-5981.8004
76.638,ST,-5981.8004
76.926,ST,-5981.8004
77.213,ST,-5981.8004
77.499,ST,-5981.8004
77.787,ST,-5981.8004
78.074,ST,-5981.8004
78.362,ST,-5981.8004
78.647,ST,-5981.8004
78.935,ST,-5981.8004
