t_s,status,mg
0.070,ST,-5068.5
0.357,ST,-5068.6
0.642,ST,-5068.6
0.930,ST,-5068.6
1.218,ST,-5068.6
1.503,ST,-5068.6
1.791,ST,-5068.6
2.078,ST,-5068.6
2.364,ST,-5068.5
2.651,ST,-5068.5
2.939,ST,-5068.5
3.224,ST,-5068.5
3.512,ST,-5068.5
3.799,ST,-5068.4
4.087,ST,-5068.4
4.372,ST,-5068.4
4.660,ST,-5068.4
4.948,ST,-5068.4
5.233,ST,-5068.3
5.521,ST,-5068.3
5.808,ST,-5068.3
6.094,ST,-5068.3
6.381,ST,-5068.3
6.669,ST,-5068.2
6.954,ST,-5068.2
7.242,ST,-5068.2
7.529,ST,-5068.2
7.815,ST,-5068.2
8.102,ST,-5068.2
8.390,ST,-5068.2
8.675,ST,-5068.2
8.963,ST,-5068.3
9.250,ST,-5068.3
9.536,ST,-5068.3
9.824,ST,-5068.3
10.111,ST,-5068.3
10.397,ST,-5068.3
10.684,ST,-5068.4
10.972,ST,-5068.4
11.257,ST,-5068.4
11.545,ST,-5068.4
11.833,ST,-5068.4
12.118,ST,-5068.4
12.406,ST,-5068.4
12.693,ST,-5068.4
12.981,ST,-5068.4
13.266,ST,-5068.4
13.554,ST,-5068.4
13.841,ST,-5068.4
14.127,ST,-5068.4
14.414,ST,-5068.3
14.702,ST,-5068.3
14.987,ST,-5068.3
15.275,ST,-5068.3
15.562,ST,-5068.3
15.848,ST,-5068.3
16.135,ST,-5068.2
16.423,ST,-5068.2
16.709,ST,-5068.2
16.996,ST,-5068.2
17.284,ST,-5068.2
17.569,ST,-5068.2
17.857,ST,-5068.2
18.144,ST,-5068.2
18.430,ST,-5068.2
18.717,ST,-5068.2
19.005,ST,-5068.2
19.290,ST,-5068.3
19.578,ST,-5068.3
19.866,ST,-5068.3
20.151,ST,-5068.3
20.439,ST,-5068.3
20.726,ST,-5068.3
21.014,ST,-5068.3
21.299,ST,-5068.3
21.587,ST,-5068.3
21.874,ST,-5068.3
22.160,ST,-5068.3
22.448,ST,-5068.3
22.735,ST,-5068.3
23.021,ST,-5068.3
23.308,ST,-5068.3
23.595,ST,-5068.3
23.881,ST,-5068.3
24.169,ST,-5068.3
24.456,ST,-5068.3
24.742,ST,-5068.3
25.029,ST,-5068.2
25.317,ST,-5068.2
25.602,ST,-5068.2
25.890,ST,-5068.2
26.177,ST,-5068.2
26.463,ST,-5068.2
26.750,ST,-5068.2
27.038,ST,-5068.2
27.324,ST,-5068.2
27.611,ST,-5068.2
27.899,ST,-5068.2
28.184,ST,-5068.2
28.472,ST,-5068.2
28.759,ST,-5068.2
29.047,ST,-5068.1
29.332,ST,-5068.1
29.620,ST,-5068.1
29.907,ST,-5068.1
30.193,ST,-5068.1
30.480,ST,-5068.2
30.768,ST,-5068.2
31.054,ST,-5068.2
31.341,ST,-5068.2
31.629,ST,-5068.2
31.914,ST,-5068.1
32.202,ST,-5068.1
32.489,ST,-5068.1
32.775,ST,-5068.1
33.062,ST,-5068.1
33.350,ST,-5068.1
33.635,ST,-5068.1
33.923,ST,-5068.0
34.210,ST,-5068.0
34.496,ST,-5068.0
34.783,ST,-5068.0
35.071,ST,-5068.0
35.357,ST,-5068.0
35.644,ST,-5068.0
35.932,ST,-5068.0
36.217,ST,-5068.0
36.505,ST,-5068.0
36.792,ST,-5068.0
37.080,ST,-5068.0
37.365,ST,-5068.0
37.653,ST,-5068.0
37.940,ST,-5068.0
38.226,ST,-5068.0
38.513,ST,-5068.0
38.801,ST,-5068.0
39.087,ST,-5068.0
39.374,ST,-5068.0
39.662,ST,-5068.0
39.947,ST,-5068.0
40.235,ST,-5068.0
40.522,ST,-5068.0
40.808,ST,-5068.0
41.095,ST,-5068.0
41.383,ST,-5068.0
41.669,ST,-5068.0
41.956,ST,-5068.0
42.243,ST,-5068.0
42.529,ST,-5068.1
42.817,ST,-5068.1
43.104,ST,-5068.1
43.390,ST,-5068.1
43.677,ST,-5068.1
43.965,ST,-5068.1
44.250,ST,-5068.1
44.538,ST,-5068.0
44.825,ST,-5068.0
45.113,ST,-5068.0
45.398,ST,-5068.0
45.686,ST,-5068.0
45.973,ST,-5068.0
46.259,ST,-5068.0
46.547,ST,-5068.0
46.834,ST,-5068.0
47.120,ST,-5068.0
47.407,ST,-5068.0
47.695,ST,-5068.0
47.980,ST,-5068.0
48.268,ST,-5068.0
48.555,ST,-5068.0
48.841,ST,-5068.0
49.129,ST,-5068.0
49.416,ST,-5068.0
49.701,ST,-5068.0
49.989,ST,-5068.0
50.277,ST,-5068.0
50.562,ST,-5068.0
50.850,ST,-5067.9004
51.137,ST,-5067.9004
51.423,ST,-5067.9004
51.710,ST,-5067.9004
51.998,ST,-5067.9004
52.283,ST,-5067.9004
52.571,ST,-5067.9004
52.858,ST,-5067.9004
53.144,ST,-5067.9004
53.432,ST,-5067.9004
53.719,ST,-5067.9004
54.007,ST,-5067.9004
54.292,ST,-5067.9004
54.580,ST,-5067.9004
54.867,ST,-5067.9004
55.153,ST,-5067.9004
55.440,ST,-5067.8
55.728,ST,-5067.8
56.013,ST,-5067.8
56.301,ST,-5067.8
56.588,ST,-5067.8
56.874,ST,-5067.8
57.162,ST,-5067.8
57.449,ST,-5067.8
57.735,ST,-5067.6996
58.022,ST,-5067.6996
58.310,ST,-5067.6996
58.595,ST,-5067.6996
58.883,ST,-5067.6996
59.170,ST,-5067.6996
59.456,ST,-5067.6996
59.743,ST,-5067.6996
60.032,ST,-5067.5996
60.317,ST,-5067.6996
60.604,ST,-5067.6996
60.891,ST,-5067.6996
61.177,ST,-5067.6996
61.464,ST,-5067.6996
61.752,ST,-5067.6996
62.040,ST,-5067.6996
62.325,ST,-5067.6996
62.613,ST,-5067.6996
62.900,ST,-5067.6996
63.186,ST,-5067.6996
63.473,ST,-5067.6996
63.761,ST,-5067.6996
64.047,ST,-5067.6996
64.334,ST,-5067.6996
64.622,ST,-5067.6996
64.907,ST,-5067.6996
65.195,ST,-5067.6996
65.482,ST,-5067.6996
65.768,ST,-5067.5996
66.055,ST,-5067.5996
66.343,ST,-5067.5996
66.628,ST,-5067.5996
66.916,ST,-5067.5
67.203,ST,-5067.5
67.489,ST,-5067.5
67.776,ST,-5067.5
68.064,ST,-5067.5
68.349,ST,-5067.5
68.637,ST,-5067.5
68.925,ST,-5067.5
69.210,ST,-5067.5
69.498,ST,-5067.5996
69.785,ST,-5067.5996
70.073,ST,-5067.5996
70.358,ST,-5067.5996
70.646,ST,-5067.5996
70.934,ST,-5067.5996
71.219,ST,-5067.5996
71.506,ST,-5067.6996
71.794,ST,-5067.6996
72.079,ST,-5067.6996
72.367,ST,-5067.6996
72.655,ST,-5067.6996
72.940,ST,-5067.6996
73.228,ST,-5067.8
73.515,ST,-5067.8
73.801,ST,-5067.8
74.088,ST,-5067.6996
74.376,ST,-5067.6996
74.661,ST,-5067.6996
74.949,ST,-5067.6996
75.236,ST,-5067.6996
75.522,ST,-5067.6996
75.809,ST,-5067.6996
76.097,ST,-5067.6996
76.383,ST,-5067.6996
76.670,ST,-5067.6996
76.958,ST,-5067.6996
77.243,ST,-5067.6996
77.531,ST,-5067.6996
77.818,ST,-5067.6996
78.106,ST,-5067.6996
78.391,ST,-5067.6996
78.679,ST,-5067.5996
78.967,ST,-5067.5996
79.252,ST,-5067.5996
79.540,ST,-5067.5996
79.827,ST,-5067.5996
80.113,ST,-5067.5996
80.400,ST,-5067.5996
80.688,ST,-5067.5996
80.973,ST,-5067.5996
81.261,ST,-5067.5996
81.548,ST,-5067.5996
81.834,ST,-5067.5996
82.121,ST,-5067.5
82.409,ST,-5067.5
82.694,ST,-5067.5
82.982,ST,-5067.5
83.270,ST,-5067.5
83.555,ST,-5067.5
83.843,ST,-5067.5
84.130,ST,-5067.5
84.416,ST,-5067.5
84.703,ST,-5067.5
84.991,ST,-5067.5
85.276,ST,-5067.5
85.564,ST,-5067.5
85.851,ST,-5067.5
86.139,ST,-5067.5
86.424,ST,-5067.5
86.712,ST,-5067.5
86.999,ST,-5067.5
87.285,ST,-5067.5
87.573,ST,-5067.5
87.860,ST,-5067.5
88.146,ST,-5067.5
88.433,ST,-5067.5
88.721,ST,-5067.5
89.006,ST,-5067.5
89.294,ST,-5067.5
89.581,ST,-5067.5
89.867,ST,-5067.5
90.154,ST,-5067.5
90.442,ST,-5067.5
90.728,ST,-5067.5
91.015,ST,-5067.5
91.303,ST,-5067.5
91.588,ST,-5067.5
91.876,ST,-5067.5
92.163,ST,-5067.5
92.449,ST,-5067.5
92.736,ST,-5067.4
93.024,ST,-5067.4
93.309,ST,-5067.4
93.597,ST,-5067.4
93.884,ST,-5067.4
94.170,ST,-5067.4
94.457,ST,-5067.4
94.745,ST,-5067.4
95.033,ST,-5067.4
95.318,ST,-5067.4
95.606,ST,-5067.4
95.893,ST,-5067.4
96.179,ST,-5067.4
96.466,ST,-5067.4
96.754,ST,-5067.4
97.040,ST,-5067.4
97.327,ST,-5067.4
97.614,ST,-5067.5
97.900,ST,-5067.5
98.187,ST,-5067.5
98.475,ST,-5067.5
98.761,ST,-5067.5
99.048,ST,-5067.5
99.336,ST,-5067.5
99.621,ST,-5067.5
99.909,ST,-5067.4
100.197,ST,-5067.4
100.482,ST,-5067.4
100.769,ST,-5067.4
101.057,ST,-5067.4
101.342,ST,-5067.4
101.630,ST,-5067.4
101.918,ST,-5067.4
102.203,ST,-5067.4
102.491,ST,-5067.4
102.778,ST,-5067.3
103.066,ST,-5067.3
103.351,ST,-5067.3
103.639,ST,-5067.3
103.926,ST,-5067.3
104.212,ST,-5067.3
104.499,ST,-5067.3
104.787,ST,-5067.3
105.073,ST,-5067.3
105.360,ST,-5067.3
105.648,ST,-5067.3
105.933,ST,-5067.3
106.221,ST,-5067.3
106.508,ST,-5067.3
106.794,ST,-5067.3
107.081,ST,-5067.3
107.369,ST,-5067.3
107.654,ST,-5067.3
107.942,ST,-5067.3
108.229,ST,-5067.3
108.515,ST,-5067.3
108.802,ST,-5067.3
109.090,ST,-5067.3
109.376,ST,-5067.3
109.663,ST,-5067.3
109.951,ST,-5067.3
110.236,ST,-5067.3
110.524,ST,-5067.2
110.811,ST,-5067.2
111.099,ST,-5067.2
111.384,ST,-5067.2
111.672,ST,-5067.2
111.959,ST,-5067.1
112.245,ST,-5067.1
112.532,ST,-5067.1
112.820,ST,-5067.1
113.106,ST,-5067.1
113.393,ST,-5067.1
113.681,ST,-5067.1
113.966,ST,-5067.1
114.254,ST,-5067.1
114.541,ST,-5067.1
114.827,ST,-5067.1
115.114,ST,-5067.1
115.402,ST,-5067.1
115.687,ST,-5067.2
115.975,ST,-5067.2
116.262,ST,-5067.2
116.548,ST,-5067.2
116.836,ST,-5067.2
117.123,ST,-5067.2
117.409,ST,-5067.2
117.696,ST,-5067.2
117.984,ST,-5067.2
118.269,ST,-5067.2
118.557,ST,-5067.2
118.844,ST,-5067.2
119.132,ST,-5067.2
119.417,ST,-5067.2
119.705,ST,-5067.1
119.992,ST,-5067.1
120.280,ST,-5067.1
120.566,ST,-5067.1
120.853,ST,-5067.1
121.139,ST,-5067.1
121.426,ST,-5067.0
121.714,ST,-5067.0
121.999,ST,-5067.0
