t_s,status,mg
0.084,ST,-195.6
0.370,US,-195.9
0.657,US,-196.2
0.945,US,-196.700016
1.232,US,-196.9
1.518,US,-197.2
1.805,US,-197.400016
2.092,US,-197.7
2.379,US,-197.8
2.666,US,-197.9
2.952,US,-198.0
3.239,US,-198.1
3.526,US,-198.3
3.812,US,-198.5
4.100,US,-198.7
4.387,US,-198.8
4.673,US,-198.9
4.960,ST,-198.9
5.248,US,-198.8
5.533,ST,-198.8
5.821,ST,-198.8
6.108,ST,-198.9
6.394,ST,-198.9
6.682,ST,-199.0
6.969,ST,-199.0
7.257,ST,-199.0
7.542,ST,-199.0
7.830,ST,-199.0
8.117,US,-198.5
8.403,US,-198.2
8.690,US,-198.1
8.978,US,-198.0
9.263,US,-197.9
9.551,ST,-197.9
9.838,ST,-197.9
10.124,ST,-197.8
10.411,US,-197.6
10.699,US,-197.5
10.985,ST,-197.400016
11.272,ST,-197.3
11.560,ST,-197.3
11.845,ST,-197.3
12.133,ST,-197.400016
12.420,ST,-197.5
12.706,ST,-197.5
12.994,ST,-197.5
13.281,ST,-197.6
13.566,US,-197.9
13.854,US,-198.0
14.141,ST,-198.0
14.427,ST,-198.0
14.715,ST,-198.1
15.002,US,-198.400016
15.289,US,-198.5
15.575,US,-198.7
15.863,US,-198.9
16.150,US,-199.1
16.436,US,-199.4
16.723,US,-199.5
17.011,US,-199.599984
17.298,US,-199.8
17.584,US,-200.0
17.871,US,-200.299984
18.158,US,-200.5
18.445,US,-200.7
18.732,US,-200.8
19.018,ST,-200.7
19.305,US,-200.599984
19.593,US,-200.4
19.878,US,-200.200016
20.166,US,-199.599984
20.453,US,-199.0
20.739,US,-198.2
21.026,US,-197.5
21.314,US,-196.799984
21.601,US,-196.3
21.887,US,-195.9
22.175,US,-195.700016
22.462,ST,-195.700016
22.749,US,-195.8
23.035,US,-196.0
23.321,US,-196.099984
23.608,ST,-196.099984
23.896,ST,-196.099984
24.183,ST,-196.2
24.469,ST,-196.3
24.757,ST,-196.3
25.044,ST,-196.3
25.329,US,-196.5
25.617,US,-196.700016
25.904,US,-196.799984
26.191,ST,-196.9
26.478,ST,-197.0
26.765,ST,-197.0
27.051,ST,-197.0
27.338,ST,-197.0
27.626,ST,-197.0
27.912,ST,-196.9
28.199,ST,-196.9
28.487,ST,-196.799984
28.774,US,-196.6
29.059,US,-196.5
29.347,ST,-196.6
29.633,US,-196.700016
29.920,US,-196.799984
30.208,US,-197.2
30.493,US,-197.400016
30.781,US,-197.5
31.068,ST,-197.6
31.354,ST,-197.7
31.641,ST,-197.7
31.929,ST,-197.7
32.216,ST,-197.7
32.502,ST,-197.7
32.790,ST,-197.7
33.077,ST,-197.7
33.363,ST,-197.6
33.650,US,-197.1
33.938,US,-196.799984
34.225,US,-196.5
34.511,US,-196.099984
34.798,US,-195.700016
35.085,US,-195.2
35.371,US,-194.7
35.659,US,-194.2
35.944,US,-193.8
36.232,US,-193.4
36.519,US,-193.200016
36.806,US,-193.200016
37.093,ST,-193.1
37.380,ST,-193.1
37.666,ST,-193.200016
37.953,ST,-193.299984
38.241,ST,-193.299984
38.528,ST,-193.299984
38.815,ST,-193.299984
39.102,ST,-193.299984
39.389,ST,-193.299984
39.676,ST,-193.299984
39.962,US,-193.8
40.249,US,-194.0
40.535,US,-194.2
40.822,ST,-194.2
41.110,ST,-194.2
41.396,ST,-194.1
41.683,US,-193.900016
41.971,US,-193.4
42.256,US,-193.1
42.544,US,-192.8
42.831,US,-192.4
43.117,US,-192.1
43.405,US,-191.9
43.692,ST,-192.0
43.978,ST,-192.0
44.265,ST,-192.1
44.553,US,-192.4
44.838,US,-192.900016
45.126,US,-193.299984
45.413,US,-193.4
45.698,US,-173.9
45.986,US,-160.6
46.273,US,-160.09999
46.559,US,-156.0
46.846,US,-146.8
47.134,US,-143.6
47.420,US,-143.4
47.707,US,-143.6
47.995,US,-143.7
48.282,ST,-143.7
48.568,ST,-143.6
48.856,ST,-143.6
49.143,ST,-143.6
49.429,ST,-143.6
49.716,ST,-143.6
50.004,ST,-143.6
50.290,ST,-143.5
50.577,ST,-143.5
50.865,ST,-143.5
51.150,US,-143.09999
51.437,US,-143.0
51.725,US,-142.8
52.010,US,-142.7
52.298,US,-142.5
52.586,US,-142.4
52.871,US,-142.29999
53.159,US,-142.2
53.446,ST,-142.2
53.732,ST,-142.1
54.019,ST,-142.1
54.307,US,-141.90001
54.592,US,-141.8
54.880,US,-141.59999
55.167,US,-141.4
55.453,US,-141.1
55.740,US,-140.8
56.028,US,-140.5
56.316,US,-140.2
56.601,US,-139.9
56.889,US,-139.59999
57.176,US,-139.40001
57.462,US,-139.2
57.749,US,-139.1
58.037,US,-138.9
58.322,US,-138.6
58.610,US,-138.3
58.898,US,-137.9
59.183,US,-137.6
59.471,US,-137.3
59.758,US,-136.9
60.046,US,-136.6
60.331,US,-136.3
60.619,US,-135.90001
60.904,US,-135.5
61.192,US,-135.1
61.479,US,-134.7
61.765,US,-134.29999
62.052,US,-133.90001
62.340,US,-133.5
62.625,US,-133.1
62.913,US,-132.7
63.201,US,-132.40001
63.486,US,-132.0
63.774,US,-131.6
64.061,US,-131.2
64.347,US,-130.9
64.634,US,-130.6
64.922,US,-130.40001
65.209,US,-130.2
65.495,US,-130.0
65.782,US,-129.70001
66.070,US,-129.5
66.355,US,-129.3
66.643,US,-129.09999
66.930,US,-129.0
67.216,US,-128.90001
67.504,ST,-128.8
67.791,ST,-128.8
68.077,ST,-128.8
68.364,ST,-128.8
68.652,ST,-128.8
68.937,ST,-128.7
69.225,ST,-128.7
69.513,ST,-128.7
69.798,ST,-128.7
70.086,ST,-128.7
70.373,ST,-128.7
70.659,ST,-128.7
70.947,ST,-128.8
71.234,ST,-128.8
71.520,ST,-128.8
71.807,ST,-128.8
72.095,ST,-128.8
72.381,ST,-128.8
72.668,ST,-128.90001
72.956,ST,-128.8
73.243,ST,-128.8
73.528,US,-128.5
73.815,US,-128.3
74.103,US,-128.2
74.389,US,-128.0
74.676,US,-127.9
74.964,US,-127.8
75.249,US,-127.700008
75.537,US,-127.6
75.824,US,-127.5
76.110,US,-127.299992
76.397,US,-127.200008
76.685,US,-127.00001
76.970,US,-126.8
77.258,US,-126.6
77.545,US,-126.399992
77.832,US,-126.30001
78.118,US,-126.200008
78.406,US,-126.0
78.692,US,-125.9
78.979,US,-125.799992
79.267,ST,-125.799992
79.554,ST,-125.7
79.840,ST,-125.7
80.127,ST,-125.6
80.415,ST,-125.6
80.701,ST,-125.6
80.988,ST,-125.6
81.276,ST,-125.6
81.561,ST,-125.6
81.849,ST,-125.49999
82.136,ST,-125.49999
82.422,ST,-125.49999
82.709,US,-125.1
82.997,US,-125.0
83.282,US,-124.9
83.570,US,-124.799992
83.857,ST,-124.700008
84.143,ST,-124.6
84.430,ST,-124.6
84.718,ST,-124.5
85.003,ST,-124.5
85.291,ST,-124.5
85.579,ST,-124.5
85.864,ST,-124.5
86.152,ST,-124.5
86.440,ST,-124.5
86.725,ST,-124.6
87.013,ST,-124.6
87.300,ST,-124.6
87.586,ST,-124.6
87.874,ST,-124.6
88.161,ST,-124.700008
88.447,ST,-124.700008
88.734,ST,-124.700008
89.022,ST,-124.700008
89.309,ST,-124.700008
89.596,ST,-124.700008
89.883,ST,-124.700008
90.170,ST,-124.799992
90.457,ST,-124.799992
90.744,ST,-124.799992
91.031,ST,-124.799992
91.318,ST,-124.9
91.604,ST,-124.9
91.891,ST,-124.9
92.177,ST,-124.9
92.465,ST,-125.0
92.752,ST,-125.0
93.037,ST,-125.0
93.324,US,-124.700008
93.612,US,-124.6
93.897,ST,-124.5
94.185,ST,-124.5
94.472,ST,-124.399992
94.759,ST,-124.399992
95.046,ST,-124.3
95.333,US,-124.200008
95.620,US,-124.0
95.906,US,-123.8
96.193,US,-123.6
96.479,US,-123.5
96.767,US,-123.3
97.054,US,-123.2
97.342,US,-123.0
97.627,US,-122.9
97.915,ST,-122.9
98.202,ST,-122.8
98.488,ST,-122.8
98.775,ST,-122.7
99.063,ST,-122.6
99.348,US,-122.4
99.636,US,-122.299992
99.923,US,-122.2
100.209,US,-122.0
100.497,US,-121.9
100.784,US,-121.799992
101.071,US,-121.7
101.357,US,-121.5
101.645,US,-121.4
101.930,US,-121.200008
102.218,US,-121.0
102.505,US,-120.8
102.791,US,-120.6
103.078,US,-120.3
103.366,US,-120.1
103.651,US,-119.9
103.939,US,-119.6
104.226,US,-119.4
104.512,US,-119.2
104.800,US,-119.0
105.087,US,-118.8
105.373,US,-118.600008
105.660,US,-118.4
105.948,US,-118.2
106.235,US,-118.100008
106.522,US,-118.0
106.808,ST,-118.0
107.096,ST,-118.0
107.382,ST,-118.0
107.669,ST,-118.0
107.957,ST,-118.0
108.242,ST,-118.0
108.530,ST,-118.0
108.818,ST,-118.0
109.103,ST,-118.0
109.391,ST,-117.9
109.678,ST,-117.9
109.964,ST,-117.9
110.251,ST,-117.9
110.539,ST,-117.9
110.825,ST,-117.9
111.112,ST,-117.799992
111.400,ST,-117.799992
111.687,ST,-117.799992
111.974,ST,-117.799992
112.261,ST,-117.799992
112.548,ST,-117.700008
112.834,ST,-117.700008
113.121,ST,-117.700008
113.408,ST,-117.6
113.694,ST,-117.6
113.982,ST,-117.5
114.269,ST,-117.5
114.555,ST,-117.5
114.842,ST,-117.5
115.130,ST,-117.5
115.415,ST,-117.4
115.703,ST,-117.4
115.991,ST,-117.4
116.276,ST,-117.4
116.564,ST,-117.4
116.851,ST,-117.4
117.137,ST,-117.4
117.424,ST,-117.4
117.712,ST,-117.4
117.997,ST,-117.4
118.284,US,-117.0
118.571,US,-116.899992
118.858,US,-116.700008
119.145,US,-116.6
119.432,US,-116.5
119.718,US,-116.4
120.005,US,-116.2
120.293,US,-116.1
120.578,US,-116.0
120.866,ST,-115.9
121.153,ST,-115.8
121.439,ST,-115.7
121.726,ST,-115.7
122.014,ST,-115.7
122.302,ST,-115.7
122.587,ST,-115.7
122.875,ST,-115.7
123.162,ST,-115.7
123.448,ST,-115.7
123.735,ST,-115.7
124.023,ST,-115.7
124.309,ST,-115.7
124.596,ST,-115.7
124.884,ST,-115.8
125.170,ST,-115.8
125.457,ST,-115.8
125.745,ST,-115.8
126.030,ST,-115.8
126.318,ST,-115.8
126.606,ST,-115.8
126.891,ST,-115.8
127.179,ST,-115.8
127.466,ST,-115.9
127.751,US,-116.3
128.038,US,-116.4
128.326,ST,-116.4
128.611,ST,-116.4
128.899,ST,-116.4
129.187,ST,-116.4
129.472,ST,-116.4
129.760,ST,-116.4
130.047,ST,-116.4
130.335,ST,-116.4
130.620,ST,-116.5
130.908,ST,-116.5
131.196,ST,-116.5
131.481,ST,-116.5
131.768,US,-116.899992
132.056,US,-117.0
132.341,ST,-117.0
132.629,ST,-117.0
132.916,ST,-117.1
133.202,ST,-117.0
133.490,ST,-117.0
133.777,ST,-117.0
134.063,ST,-116.899992
134.351,ST,-116.899992
134.638,ST,-116.8
134.924,ST,-116.8
135.211,ST,-116.8
135.499,ST,-116.8
135.785,ST,-116.8
136.072,ST,-116.700008
136.360,ST,-116.700008
136.646,ST,-116.700008
136.933,ST,-116.700008
137.221,ST,-116.700008
137.507,US,-116.2
137.793,US,-116.0
138.080,US,-115.8
138.368,US,-115.6
138.653,US,-115.4
138.941,US,-115.2
139.228,US,-115.0
139.514,US,-114.9
139.801,ST,-114.9
140.089,ST,-115.0
140.374,US,-115.1
140.662,ST,-115.1
140.950,ST,-115.1
141.235,ST,-115.1
141.523,ST,-115.1
141.810,ST,-115.1
