t_s,status,mg
0.082,ST,-5.7999996
0.370,ST,-5.7999996
0.656,US,-6.1
0.942,US,-6.2000004
1.229,US,-6.3999996
1.517,US,-6.5
1.802,US,-6.7
2.090,US,-6.9
2.378,US,-7.0
2.663,US,-7.2
2.951,US,-7.3
3.238,US,-7.4
3.524,ST,-7.4
3.811,ST,-7.5
4.099,ST,-7.5
4.384,ST,-7.5
4.672,ST,-7.5
4.960,ST,-7.5
5.247,ST,-7.5
5.533,ST,-7.5
5.820,ST,-7.5
6.108,ST,-7.5
6.393,ST,-7.5
6.681,ST,-7.5
6.969,ST,-7.5
7.254,ST,-7.5
7.542,ST,-7.5
7.830,ST,-7.5
8.115,ST,-7.6
8.403,ST,-7.6
8.690,ST,-7.6
8.976,ST,-7.6
9.262,US,-8.1
9.550,ST,-8.1
9.836,ST,-8.1
10.123,ST,-8.1
10.411,ST,-8.2
10.696,ST,-8.2
10.984,ST,-8.2
11.272,ST,-8.2
11.557,ST,-8.2
11.845,ST,-8.2
12.132,ST,-8.1
12.417,US,-7.7
12.705,US,-7.7
12.992,ST,-7.6
13.280,ST,-7.6
13.566,ST,-7.7
13.853,ST,-7.7
14.141,ST,-7.7999996
14.427,ST,-7.8999996
14.714,ST,-7.8999996
15.001,ST,-8.0
15.287,US,-8.1
15.574,ST,-8.1
15.862,ST,-8.1
16.148,ST,-8.0
16.435,ST,-8.0
16.723,ST,-8.0
17.008,ST,-8.0
17.296,ST,-8.0
17.583,ST,-8.0
17.869,ST,-8.0
18.157,ST,-8.0
18.444,US,-7.5
18.729,US,-7.3
19.017,US,-7.2
19.304,US,-7.1
19.590,US,-7.0
19.878,US,-6.9
20.165,ST,-6.9
20.450,ST,-6.8
20.738,US,-6.6
21.026,US,-6.3999996
21.311,US,-6.2000004
21.599,US,-6.1
21.886,US,-6.0
22.174,US,-5.7999996
22.459,US,-5.6
22.747,US,-5.4
23.034,US,-5.2999996
23.320,US,-5.2
23.607,US,-5.0
23.895,ST,-5.0
24.180,ST,-5.0
24.468,ST,-5.0
24.756,ST,-5.0
25.041,ST,-5.0
25.329,ST,-5.0
25.616,ST,-5.1000004
25.902,ST,-5.1000004
26.190,ST,-5.1000004
26.477,ST,-5.2
26.763,ST,-5.2
27.050,ST,-5.2
27.338,ST,-5.2
27.623,ST,-5.2
27.911,ST,-5.2
28.198,US,-4.8
28.483,US,-4.7
28.771,US,-4.6
29.059,ST,-4.5
29.346,US,-4.4
29.632,US,-4.3
29.919,US,-4.1
30.207,US,-4.0
30.492,US,-3.8999998
30.780,US,-3.8
31.067,ST,-3.8
31.353,ST,-3.7
31.641,ST,-3.7
31.928,ST,-3.7
32.214,ST,-3.7
32.501,ST,-3.7
32.789,ST,-3.7
33.075,ST,-3.8
33.362,US,-4.2
33.649,US,-4.3
33.935,US,-4.5
34.222,US,-4.6
34.510,ST,-4.6
34.795,ST,-4.6
35.083,ST,-4.6
35.371,ST,-4.5
35.656,ST,-4.5
35.944,ST,-4.5
36.231,ST,-4.5
36.517,ST,-4.5
36.805,ST,-4.5
37.092,ST,-4.4
37.380,ST,-4.4
37.665,US,-4.0
37.952,US,-3.8999998
38.240,ST,-3.8999998
38.526,ST,-3.8999998
38.813,ST,-4.0
39.101,ST,-4.1
39.386,ST,-4.1
39.673,US,-4.4
39.961,US,-4.5
40.247,US,-4.6
40.534,ST,-4.6
40.822,ST,-4.7
41.107,ST,-4.8
41.395,ST,-4.9
41.682,US,-5.0
41.968,US,-5.1000004
42.256,US,-5.2
42.543,US,-5.2999996
42.828,US,-5.4
43.116,ST,-5.4
43.404,ST,-5.5
43.689,ST,-5.6
43.977,US,-5.7000004
44.264,ST,-5.7000004
