t_s,status,mg
0.087,ST,0.5
0.374,ST,0.5
0.662,ST,0.5
0.948,ST,0.5
1.235,ST,0.5
1.523,ST,0.5
1.810,ST,0.5
2.096,ST,0.5
2.383,ST,0.5
2.671,ST,0.5
2.957,ST,0.5
3.244,ST,0.6
3.532,ST,0.6
3.818,ST,0.6
4.105,ST,0.6
4.393,ST,0.6
4.678,ST,0.6
4.966,ST,0.6
5.253,ST,0.7
5.538,US,1.2
5.826,US,1.4
6.113,US,1.5
6.399,ST,1.5
6.686,ST,1.5
6.974,ST,1.4
7.259,US,1.3
7.547,ST,1.3
7.834,US,1.0
8.120,US,0.9
8.407,ST,0.9
8.695,ST,0.9
8.983,ST,0.9
9.268,ST,0.9
9.556,ST,0.9
9.843,ST,0.9
10.129,ST,0.9
10.417,ST,0.9
10.704,ST,0.9
10.989,US,1.3
11.277,US,1.5
11.564,US,1.7
11.850,US,1.9
12.137,US,2.0
12.425,ST,1.9
12.711,US,1.8
12.998,US,1.5999999
13.286,US,1.5
13.571,US,1.3
13.859,US,1.2
14.146,US,1.1
14.432,US,1.0
14.719,ST,1.0
15.007,ST,1.0
15.293,ST,1.0
15.580,ST,1.0
15.868,ST,1.0
16.155,ST,1.0
16.441,ST,1.0
16.728,ST,1.0
17.016,ST,1.0
17.301,ST,0.9
17.589,ST,0.9
17.877,ST,0.9
18.162,ST,0.9
18.450,ST,0.799999936
18.738,ST,0.799999936
19.024,ST,0.799999936
19.311,ST,0.799999936
19.598,ST,0.799999936
19.884,ST,0.7
20.171,ST,0.7
20.459,ST,0.7
20.745,ST,0.7
21.031,US,1.0
21.319,US,1.2
21.604,US,1.4
21.892,US,1.5999999
22.179,US,1.8
22.465,US,2.0
22.752,US,2.1
23.040,US,2.2
23.326,ST,2.2
23.613,ST,2.2
23.901,ST,2.2
24.188,ST,2.2
24.474,ST,2.1
24.761,ST,2.1
25.049,ST,2.1
25.334,ST,2.1
25.622,ST,2.0
25.910,ST,2.0
26.195,ST,2.0
26.483,ST,2.0
26.770,ST,1.9
27.056,ST,1.9
27.344,ST,1.9
27.631,ST,1.9
27.917,ST,1.9
28.204,ST,2.0
28.492,ST,2.0
28.778,ST,2.0
29.065,ST,2.0
29.353,ST,2.0
29.638,ST,2.0
29.926,ST,2.0
30.213,ST,2.0
30.499,ST,1.9
30.786,ST,1.9
31.074,ST,1.9
31.361,ST,1.9
31.647,ST,1.9
31.934,ST,1.9
32.222,ST,1.9
32.508,ST,1.8
32.795,ST,1.8
33.083,ST,1.8
33.368,ST,1.7
33.656,ST,1.7
33.942,US,1.9
34.228,US,2.0
34.516,ST,1.9
34.803,US,1.7
35.089,US,1.5999999
35.376,US,1.2
35.663,US,1.0
35.949,US,0.799999936
36.237,US,0.7
36.524,ST,0.7
36.810,ST,0.799999936
37.097,ST,0.9
37.385,ST,1.0
37.670,ST,1.0
37.958,US,1.2
38.245,US,1.2
38.531,ST,1.2
38.819,ST,1.2
39.106,ST,1.2
39.394,ST,1.3
39.679,ST,1.3
39.967,ST,1.3
40.255,ST,1.3
40.540,ST,1.2
40.828,ST,1.2
41.115,ST,1.2
41.401,ST,1.2
41.689,ST,1.1
41.976,ST,1.1
42.262,ST,1.1
42.549,ST,1.1
42.837,ST,1.1
43.122,US,1.4
43.409,US,1.5999999
43.697,US,1.7
43.982,US,1.9
44.270,US,2.1
44.557,US,2.2
44.843,US,2.3
45.130,US,2.4
45.418,ST,2.4
45.703,ST,2.5
45.991,ST,2.5
46.278,ST,2.5
46.564,ST,2.5
46.852,ST,2.6
47.139,ST,2.6
47.427,US,2.8999998
47.712,US,3.1000002
48.000,US,3.3
48.287,US,3.4
48.573,US,3.6
48.860,US,3.7
49.148,US,3.8
49.433,ST,3.8999998
49.721,ST,4.0
50.009,ST,4.1
50.294,ST,4.2
50.582,ST,4.2
50.869,ST,4.2
51.155,ST,4.2
51.442,ST,4.2
51.730,ST,4.1
52.015,ST,4.1
52.303,ST,4.1
52.591,ST,4.1
52.876,ST,4.0
53.164,ST,4.0
53.451,ST,4.0
53.737,ST,4.0
54.025,ST,4.0
54.312,ST,3.8999998
54.600,ST,3.8999998
54.887,ST,3.8999998
55.174,ST,3.8999998
55.461,ST,3.8999998
55.748,ST,3.8999998
56.035,ST,3.8
56.321,ST,3.8
56.607,ST,3.8
56.894,ST,3.8
57.182,ST,3.8
57.467,ST,3.8
57.755,ST,3.8999998
58.042,ST,3.8999998
58.329,ST,3.8999998
58.616,ST,3.8999998
58.903,ST,3.8999998
59.189,ST,4.0
59.475,US,4.6
59.763,US,4.8
60.048,US,5.1000004
60.337,US,5.2999996
60.623,US,5.5
60.909,US,5.6
61.196,US,5.7000004
61.484,ST,5.7000004
61.769,ST,5.7000004
62.057,ST,5.7000004
62.345,ST,5.7000004
62.632,ST,5.7000004
62.918,ST,5.7000004
63.205,ST,5.7000004
63.493,ST,5.7000004
63.779,ST,5.6
64.066,ST,5.6
64.354,ST,5.6
64.639,ST,5.6
64.927,ST,5.6
65.215,ST,5.5
65.500,ST,5.5
65.788,ST,5.5
66.076,ST,5.5
66.361,ST,5.5
66.649,ST,5.5
66.936,ST,5.5
67.222,ST,5.5
67.509,ST,5.5
67.797,ST,5.5
68.082,ST,5.5
68.370,ST,5.5
68.657,ST,5.5
68.943,ST,5.5
69.230,ST,5.5
69.518,ST,5.5
69.806,ST,5.5
70.091,ST,5.5
70.379,ST,5.5
70.666,ST,5.5
70.952,ST,5.5
71.239,ST,5.5
71.527,ST,5.5
71.812,ST,5.5
72.100,ST,5.5
72.387,ST,5.5
72.673,ST,5.5
72.959,US,5.9
73.247,US,6.0
73.532,ST,6.1
73.820,ST,6.1
74.108,ST,6.2000004
74.394,ST,6.3
74.681,ST,6.3
74.968,ST,6.3
75.254,ST,6.3
75.542,ST,6.3
75.829,ST,6.3
76.115,ST,6.3
76.402,ST,6.3
76.690,ST,6.3
76.975,ST,6.3
77.263,ST,6.3
77.551,ST,6.3999996
77.838,ST,6.3999996
78.124,ST,6.3999996
78.412,ST,6.3999996
78.698,US,6.8
78.984,US,6.9
79.271,ST,6.9
79.559,ST,6.9
79.845,ST,6.9
80.132,ST,6.9
80.420,ST,6.9
80.705,ST,7.0
80.993,ST,7.0
81.280,ST,7.0
81.566,ST,7.0
81.854,ST,7.0
82.141,ST,7.1
82.427,ST,7.1
82.714,ST,7.1
83.002,ST,7.1
83.288,ST,7.1
83.575,ST,7.1
83.862,US,7.7
84.147,US,7.8999996
84.435,US,8.1
84.722,US,8.3
85.010,US,8.5
85.296,US,8.7
85.583,US,8.8
85.871,ST,8.8
86.156,ST,8.8
86.444,ST,8.8
86.731,ST,8.7
87.017,US,8.6
87.305,ST,8.6
87.592,ST,8.5
87.877,US,8.3
88.165,US,8.2
88.452,US,8.1
88.738,ST,8.0
89.026,ST,8.0
89.313,ST,7.8999996
89.600,ST,7.7999996
89.886,ST,7.7999996
90.174,ST,7.7
90.459,ST,7.7
90.747,US,7.5
91.034,US,7.4
91.320,US,7.3
91.608,US,7.1
91.895,US,7.0
92.180,US,6.8
92.468,ST,6.8
92.756,ST,6.8
93.043,ST,6.8
93.329,ST,6.8
93.616,ST,6.9
93.904,ST,7.0
94.189,US,7.3
94.477,US,7.5
94.764,US,7.7
95.050,US,7.8999996
95.338,US,8.1
95.625,US,8.2
95.910,ST,8.2
96.198,ST,8.2
96.486,ST,8.1
96.771,US,8.0
97.059,US,7.8999996
97.346,US,7.7
97.632,US,7.5
97.919,US,7.4
98.207,ST,7.4
98.492,ST,7.3
98.780,ST,7.3
99.067,ST,7.4
99.353,ST,7.5
99.641,ST,7.6
99.928,US,8.0
100.216,US,8.2
100.501,US,8.4
100.789,US,8.5
101.076,US,8.6
101.362,ST,8.7
101.649,ST,8.8
101.937,ST,8.8
102.223,ST,8.8
102.510,ST,8.8
102.798,ST,8.7
103.083,ST,8.7
103.371,ST,8.7
103.658,ST,8.6
103.944,ST,8.6
104.232,ST,8.6
104.519,ST,8.6
104.805,ST,8.6
105.092,ST,8.6
105.380,ST,8.6
105.665,ST,8.6
105.952,US,9.0
106.240,US,9.2
106.525,US,9.3
106.813,US,9.4
107.101,US,9.5
107.386,US,9.6
107.673,US,9.700001
107.961,ST,9.700001
108.249,ST,9.700001
108.534,ST,9.700001
108.822,ST,9.700001
109.109,ST,9.700001
109.395,ST,9.700001
109.682,ST,9.6
109.970,ST,9.6
110.256,ST,9.6
110.543,ST,9.6
110.831,ST,9.6
111.116,ST,9.6
111.404,ST,9.6
111.692,ST,9.6
111.977,ST,9.6
112.265,ST,9.6
112.552,ST,9.6
112.838,ST,9.6
113.126,ST,9.6
113.413,ST,9.6
113.699,ST,9.6
113.986,ST,9.6
114.274,ST,9.6
114.559,ST,9.6
114.847,ST,9.700001
115.134,ST,9.700001
115.422,ST,9.700001
115.708,ST,9.700001
115.995,ST,9.8
116.283,ST,9.8
116.568,ST,9.8
116.855,US,10.5
117.142,US,10.700001
117.428,US,10.8
117.715,ST,10.8
118.003,ST,10.900001
118.288,ST,10.8
118.576,ST,10.700001
118.864,ST,10.700001
119.149,ST,10.700001
119.437,ST,10.599999
119.724,US,10.4
120.010,US,10.3
120.297,ST,10.3
120.585,ST,10.3
120.870,ST,10.200001
121.158,ST,10.200001
121.445,ST,10.200001
121.731,ST,10.200001
122.019,ST,10.200001
122.306,ST,10.3
122.592,US,10.700001
122.879,US,10.8
123.167,US,11.0
123.454,US,11.099999
123.740,US,11.2
124.027,ST,11.2
124.315,ST,11.2
124.600,ST,11.099999
124.888,ST,11.099999
125.175,ST,11.0
125.461,US,10.700001
125.748,US,10.599999
126.036,ST,10.599999
126.322,ST,10.5
126.609,ST,10.5
126.897,ST,10.599999
127.182,US,10.700001
127.470,US,10.8
127.757,US,11.0
128.043,US,11.099999
128.330,US,11.2
128.618,ST,11.3
128.903,ST,11.3
129.191,ST,11.400001
129.478,ST,11.400001
129.764,ST,11.400001
130.052,ST,11.5
130.339,ST,11.5
130.627,ST,11.5
130.912,ST,11.5
131.200,ST,11.5
131.487,ST,11.5
131.773,ST,11.5
132.061,ST,11.5
132.348,ST,11.5
132.634,ST,11.5
132.921,ST,11.5
133.209,ST,11.5
133.495,ST,11.5
133.782,US,11.900001
134.069,US,12.0
134.354,US,12.1
134.642,US,12.2
134.930,ST,12.2
135.215,ST,12.2
135.503,ST,12.2
135.790,ST,12.2
136.076,ST,12.2
136.363,ST,12.2
136.651,ST,12.1
136.937,ST,12.1
137.224,ST,12.1
137.512,ST,12.0
137.797,ST,12.0
138.085,ST,12.0
138.373,ST,12.1
138.660,US,12.5
138.945,US,12.6
139.233,US,12.7
139.520,US,12.799999
139.806,ST,12.799999
140.093,ST,12.799999
140.381,ST,12.799999
140.666,ST,12.900001
140.955,ST,12.900001
141.242,ST,12.900001
141.527,ST,13.0
141.815,ST,13.0
142.102,ST,13.0
142.388,ST,13.1
142.676,ST,13.1
142.963,ST,13.1
143.249,ST,13.1
143.536,ST,13.1
143.824,ST,13.1
144.110,ST,13.1
144.397,ST,13.1
144.685,ST,13.1
144.970,ST,13.1
145.258,ST,13.2
145.545,ST,13.2
145.833,ST,13.2
146.119,ST,13.2
146.405,US,12.7
146.693,US,12.6
146.978,US,12.5
147.266,ST,12.6
147.553,US,12.7
147.839,ST,12.7
148.126,ST,12.799999
148.414,ST,12.799999
148.700,US,13.0
148.987,US,13.1
149.274,ST,13.1
149.560,ST,13.1
149.848,ST,13.1
150.135,ST,13.1
150.421,ST,13.1
150.709,ST,13.1
150.996,ST,13.1
151.282,ST,13.0
151.569,ST,13.0
151.857,ST,13.0
152.142,ST,13.0
152.430,ST,13.0
152.718,ST,13.0
153.003,ST,13.0
153.291,ST,13.0
153.578,ST,13.0
153.865,US,13.4
154.151,US,13.4
154.438,ST,13.4
154.726,ST,13.5
155.011,ST,13.5
155.299,ST,13.5
155.587,ST,13.5
155.872,ST,13.4
156.160,ST,13.4
156.447,ST,13.4
156.733,ST,13.4
157.021,ST,13.4
157.308,ST,13.3
157.594,ST,13.3
157.881,ST,13.3
158.169,ST,13.3
158.454,ST,13.2
158.742,ST,13.2
159.030,ST,13.2
159.315,ST,13.2
159.603,ST,13.2
159.890,ST,13.2
160.175,US,13.4
160.462,US,13.5
160.750,ST,13.5
161.038,ST,13.6
161.323,ST,13.6
161.611,ST,13.6
161.898,ST,13.5
162.184,ST,13.5
162.471,ST,13.5
162.759,ST,13.5
163.045,ST,13.5
163.332,ST,13.5
163.620,ST,13.6
163.905,ST,13.6
164.193,ST,13.6
164.481,ST,13.6
164.766,ST,13.6
165.054,ST,13.6
165.341,ST,13.7
165.627,ST,13.7
165.915,ST,13.7
166.202,ST,13.7
166.488,ST,13.7
166.775,ST,13.7
167.063,ST,13.7
167.348,ST,13.7
167.636,ST,13.7
167.923,ST,13.7
168.211,ST,13.7
168.496,ST,13.7
168.784,ST,13.7
169.072,ST,13.7
169.356,US,13.9
169.644,US,14.0
