run_id,powder_id,n,target_g,dispensed_g,error_g,status,elapsed_s,auger_rev,taps,phase_cycles,t_ms
20260804T204316Z_brown-rice-flour,brown-rice-flour,0,1.0,0.0008,-0.9992,stalled,6.0,4.58,0,bulk:15,411685
20260804T204316Z_brown-rice-flour,brown-rice-flour,1,1.0,0.0,-1.0,stalled,5.0,4.58,0,bulk:16,416846
20260804T204316Z_brown-rice-flour,brown-rice-flour,2,1.0,0.0011,-0.9989,stalled,5.0,4.58,0,bulk:15,421725
20260804T211422Z_white-rice-flour,white-rice-flour,0,1.0,0.8597,-0.1403,cycle-budget,822.0,38.75,0,bulk:51;fine:200,1223964
20260804T211422Z_white-rice-flour,white-rice-flour,1,1.0,0.8399,-0.1601,cycle-budget,825.0,37.83,0,bulk:48;fine:200,2048494
20260804T211422Z_white-rice-flour,white-rice-flour,2,1.0,0.8868,-0.1132,cycle-budget,818.0,34.17,0,bulk:36;fine:200,2867008
20260804T224937Z_brown-rice-flour,brown-rice-flour,0,1.0,0.0,-1.0,stalled,6.0,4.58,0,bulk:16,405775
20260804T224937Z_brown-rice-flour,brown-rice-flour,1,1.0,0.0,-1.0,stalled,5.0,4.58,0,bulk:16,410939
20260804T224937Z_brown-rice-flour,brown-rice-flour,2,1.0,0.0,-1.0,stalled,5.0,4.58,0,bulk:15,415817
20260805T145725Z_sodium-alginate,sodium-alginate,0,1.0,0.7285,-0.2715,cycle-budget,836.0,52.5,0,bulk:103;fine:200,1238236
20260805T145725Z_sodium-alginate,sodium-alginate,1,1.0,0.6928,-0.3072,cycle-budget,840.0,54.33,0,bulk:113;fine:200,2077786
20260805T145725Z_sodium-alginate,sodium-alginate,2,1.0,0.7043,-0.2957,cycle-budget,843.0,55.25,0,bulk:114;fine:200,2921045
20260805T185305Z_brown-rice-flour,brown-rice-flour,0,1.0,0.0018,-0.9982,stalled,6.0,4.58,0,bulk:16,407149
20260805T185305Z_brown-rice-flour,brown-rice-flour,1,1.0,0.0008,-0.9992,stalled,8.0,4.58,0,bulk:17,414994
20260805T185305Z_brown-rice-flour,brown-rice-flour,2,1.0,0.0,-1.0,stalled,7.0,4.58,0,bulk:14,421972
20260805T200002Z_calcium-lactate,calcium-lactate,0,1.0,0.9846,-0.0154,stalled,265.0,4.89,166,bulk:13;fine:16;tap:83,680541
20260805T200002Z_calcium-lactate,calcium-lactate,1,1.0,0.9654,-0.0346,stalled,263.0,5.81,164,bulk:15;fine:16;tap:82,943622
20260805T200002Z_calcium-lactate,calcium-lactate,2,1.0,0.9705,-0.0295,stalled,215.0,5.81,114,bulk:15;fine:16;tap:57,1158400
20260805T215252Z_carboxymethyl-cellulose,carboxymethyl-cellulose,0,1.0,0.9511,-0.0489,stalled,651.0,31.68,66,bulk:53;fine:135;tap:33,1052051
20260805T215252Z_carboxymethyl-cellulose,carboxymethyl-cellulose,1,1.0,0.9575,-0.0425,stalled,668.0,30.89,78,bulk:51;fine:136;tap:39,1719837
20260805T215252Z_carboxymethyl-cellulose,carboxymethyl-cellulose,2,1.0,0.9619,-0.0381,stalled,688.0,31.93,92,bulk:56;fine:137;tap:46,2408000
20260806T140254Z_xanthan-gum,xanthan-gum,0,1.0,0.9564,-0.0436,stalled,174.0,6.72,76,bulk:16;fine:16;tap:38,575915
20260806T140254Z_xanthan-gum,xanthan-gum,1,1.0,0.9699,-0.0301,stalled,199.0,6.97,90,bulk:18;fine:18;tap:45,775016
20260806T140254Z_xanthan-gum,xanthan-gum,2,1.0,0.975,-0.025,stalled,193.0,6.97,86,bulk:18;fine:18;tap:43,968276
20260806T145120Z_salt,salt,0,1.0,0.9953,-0.0047,ok,265.0,9.83,70,bulk:16;fine:42;tap:35,675008
20260806T145120Z_salt,salt,1,1.0,0.9965,-0.0035,ok,204.0,9.46,28,bulk:15;fine:39;tap:14,879634
20260806T145120Z_salt,salt,2,1.0,1.0088,0.0088,overshoot,113.0,6.92,0,bulk:14;fine:26;tap:0,992669
20260811T183043Z_alsi10mg,alsi10mg,0,1.0,0.9948,-0.0052,stalled,320.0,23.43,82,bulk:67;fine:47;tap:41,720557
20260811T183043Z_alsi10mg,alsi10mg,1,1.0,0.9677,-0.0323,stalled,313.0,14.51,78,bulk:31;fine:49;tap:39,1033551
20260811T183043Z_alsi10mg,alsi10mg,2,1.0,0.9788,-0.0212,stalled,307.0,14.39,76,bulk:32;fine:48;tap:38,1340716
20260812T215154Z_salt,salt,0,1.0,0.9956,-0.0044,ok,169.0,5.42,70,bulk:11;fine:14;tap:35,573891
20260812T215154Z_salt,salt,1,1.0,0.9968,-0.0032,ok,132.0,4.5,42,bulk:12;fine:14;tap:21,706340
20260812T215154Z_salt,salt,2,1.0,0.9953,-0.0047,ok,203.0,5.07,122,bulk:12;fine:11;tap:61,909177
20260821T161838Z_silicon-325,silicon-325,0,1.0,0.0,-1.0,stalled,7.0,4.58,0,bulk:12,791047
20260821T161838Z_silicon-325,silicon-325,1,1.0,0.0016,-0.9984,stalled,6.0,4.58,0,bulk:12,797259
20260821T161838Z_silicon-325,silicon-325,2,1.0,0.0004,-0.9996,stalled,7.0,4.58,0,bulk:14,804248
