run_id,powder_id,display,powder,batch,track,started_utc,elapsed_s,blocks,status,qc_valid,qc_verdict,preflight_verdict,median_sigma_g,shock_events,clean_trial_fraction,ce_ratio,poolable,n_doses
20260804T204316Z_brown-rice-flour,brown-rice-flour,Brown rice flour,brown rice flour (food-safe batch),food-safe-2026-08,surrogate,2026-08-04T20:43:16.183255+00:00,,ABCDEFG,ok,False,no-conveyance-auger-suspect,,,,,1.3750000000000002,False,3
20260804T211422Z_white-rice-flour,white-rice-flour,White rice flour,white rice flour (food-safe batch),food-safe-2026-08,surrogate,2026-08-04T21:14:22.351081+00:00,,ABCDEFG,ok,True,ok,,,,,0.7441329856584095,True,3
20260804T224937Z_brown-rice-flour,brown-rice-flour,Brown rice flour,"brown rice flour (food-safe batch), re-run after tape removal",food-safe-2026-08,surrogate,2026-08-04T22:49:37.985918+00:00,,ABCDEFG,ok,False,no-conveyance-auger-suspect,no-conveyance,,,,,False,3
20260805T145725Z_sodium-alginate,sodium-alginate,Sodium alginate,sodium alginate (food-safe batch),food-safe-2026-08,surrogate,2026-08-05T14:57:25.298344+00:00,,ABCDEFG,ok,True,ok,feed confirmed,,,,1.08,True,3
20260805T185305Z_brown-rice-flour,brown-rice-flour,Brown rice flour,"brown rice flour (food-safe batch), auger #2",food-safe-2026-08,surrogate,2026-08-05T18:53:05.644181+00:00,427.6,ABCDEFG,ok,True,conveying-slowly,conveying-slowly,,,,4.8,False,3
20260805T200002Z_calcium-lactate,calcium-lactate,Calcium lactate,calcium lactate (food-safe batch),food-safe-2026-08,surrogate,2026-08-05T20:00:02.433141+00:00,1162.5,ABCDEFG,ok,True,ok,feed confirmed,,,,0.8346642010590906,True,3
20260805T215252Z_carboxymethyl-cellulose,carboxymethyl-cellulose,CMC,carboxymethyl cellulose (food-safe batch),food-safe-2026-08,surrogate,2026-08-05T21:52:52.010546+00:00,2412.1,ABCDEFG,ok,True,ok,feed confirmed after extended charging,,,,0.9098671726755219,True,3
20260806T140254Z_xanthan-gum,xanthan-gum,Xanthan gum,xanthan gum (food-safe batch),food-safe-2026-08,surrogate,2026-08-06T14:02:54.080499+00:00,972.4,ABCDEFG,ok,True,ok,feed confirmed,,,,0.8459311343190983,True,3
20260806T145120Z_salt,salt,NaCl (control),"sodium chloride (table salt), food-safe batch",food-safe-2026-08,surrogate,2026-08-06T14:51:20.847638+00:00,997.5,ABCDEFG,ok,True,ok,feed confirmed,,,,2.6776315789473686,False,3
20260811T183043Z_alsi10mg,alsi10mg,AlSi10Mg,"AlSi10Mg (aluminum-silicon-magnesium AM metal powder, non-food-safe)",metal-2026-08,research,2026-08-11T18:30:43.564056+00:00,1344.8,ABCDEFG,ok,False,no-tilt-servo-fault,feed confirmed,,,,0.7595962938451356,False,3
20260812T215154Z_salt,salt,NaCl (control),"salt (food-safe batch), repeat run",food-safe-2026-08,surrogate,2026-08-12T21:51:54.498951+00:00,913.3,ABCDEFG,ok,True,ok,feed confirmed,,,,0.9253635585970915,True,3
20260820T175631Z_salt,salt,NaCl (control),salt (control; battery_version 2 artifact rejection),food-safe-2026-08,surrogate,2026-08-20T17:56:31Z,1659.2,ABCDE,truncated,False,environment-stress-test,feed confirmed,0.0124,36,0.0208,,False,0
20260820T192224Z_sodium-sulfate,sodium-sulfate,Sodium sulfate,"sodium sulfate (Na2SO4), non-toxic, first beyond salt",inorganic-2026-08,research,2026-08-20T19:22:24.995883+00:00,790.1,ABCDE,ok,True,ok,feed confirmed,0.0059,9,0.1875,0.8863363723608445,True,0
20260820T214823Z_silicon-110-200,silicon-110-200,Si (110/200 mesh),"silicon powder, -110/+200 mesh",metal-2026-08,research,2026-08-20T21:48:23.367756+00:00,905.2,ABCDE,ok,True,ok,feed confirmed,0.0079,9,0.0781,0.8286070242050309,True,0
20260821T151337Z_alsi10mg,alsi10mg,AlSi10Mg,"AlSi10Mg aluminium alloy AM powder (metal batch), auger reloaded 2026-08-21",metal-2026-08,research,2026-08-21T15:13:37Z,1265.7,ABCDE,ok,True,ok,feed confirmed,0.0104,15,0.0156,1.194252002597965,False,0
20260821T161838Z_silicon-325,silicon-325,Si (-325 mesh),"silicon, -325 mesh (<44 um)",metal-2026-08,research,2026-08-21T16:18:38.225294+00:00,810.4,ABCDEG,ok,True,conveying-slowly,,0.0,0,1.0,,False,3
20260821T170712Z_barium-chloride,barium-chloride,Barium chloride,"barium chloride (inorganic batch, fume hood)",inorganic-2026-08,research,2026-08-21T17:07:12.015465+00:00,789.2,ABCDE,ok,True,ok,,0.0,0,1.0,1.0328234975636166,True,0
20260821T182705Z_fumed-silica,fumed-silica,Fumed silica,"fumed silica (Aerosil-type amorphous SiO2, ultra-low bulk density)",inorganic-2026-08,research,2026-08-21T18:27:05.961034+00:00,929.4,ABCDE,ok,False,no-conveyance-outlet-unverified,,0.0041,9,0.375,4.670245398773007,False,0
20260821T192031Z_salt,salt,NaCl (control),"salt (control, sodium chloride)",food-safe-2026-08,surrogate,2026-08-21T19:20:31.212009+00:00,872.5,ABCDE,ok,True,ok,feed confirmed,0.0029,1,0.4531,1.0611275457958813,True,0
