run_id,powder_id,block,tilt_deg,phase,trial,action,rpm,before_g,after_g,delta_g,flag,t_ms,sigma_g,drift_g,shock_g,retries,quality
20260804T204316Z_brown-rice-flour,brown-rice-flour,A,45.0,baseline,0,,,0.0,0.0,0.0,,7540,,,,,
20260804T204316Z_brown-rice-flour,brown-rice-flour,A,45.0,baseline,1,,,0.0,0.0,0.0,,9635,,,,,
20260804T204316Z_brown-rice-flour,brown-rice-flour,A,45.0,baseline,2,,,0.0,0.0,0.0,,11750,,,,,
20260804T204316Z_brown-rice-flour,brown-rice-flour,A,45.0,baseline,3,,,0.0,0.0,0.0,,13844,,,,,
20260804T204316Z_brown-rice-flour,brown-rice-flour,A,45.0,baseline,4,,,0.0,0.0,0.0,,15959,,,,,
20260804T204316Z_brown-rice-flour,brown-rice-flour,A,45.0,baseline,5,,,0.0,0.0,0.0,,18053,,,,,
20260804T204316Z_brown-rice-flour,brown-rice-flour,A,45.0,baseline,6,,,0.0,0.0,0.0,,20154,,,,,
20260804T204316Z_brown-rice-flour,brown-rice-flour,A,45.0,baseline,7,,,0.0,0.0,0.0,,22269,,,,,
20260804T204316Z_brown-rice-flour,brown-rice-flour,B,0.0,hold,0,15,,0.0,0.0,0.0,,42726,,,,,
20260804T204316Z_brown-rice-flour,brown-rice-flour,B,45.0,hold,0,15,,0.0,0.0,0.0,,63191,,,,,
20260804T204316Z_brown-rice-flour,brown-rice-flour,B,90.0,hold,0,15,,0.0,0.0,0.0,,83656,,,,,
20260804T204316Z_brown-rice-flour,brown-rice-flour,C,0.0,rotation,0,360.0,30.0,0.0,0.0,0.0,lowflow,96087,,,,,
20260804T204316Z_brown-rice-flour,brown-rice-flour,C,0.0,rotation,1,360.0,30.0,0.0,0.0004,0.0004,lowflow,102876,,,,,
20260804T204316Z_brown-rice-flour,brown-rice-flour,C,0.0,rotation,2,360.0,30.0,0.0004,0.0012,0.0008,,112153,,,,,
20260804T204316Z_brown-rice-flour,brown-rice-flour,C,0.0,rotation,3,360.0,30.0,0.0012,0.0012,0.0,lowflow,119516,,,,,
20260804T204316Z_brown-rice-flour,brown-rice-flour,C,0.0,rotation,4,360.0,30.0,0.0012,0.0012,0.0,lowflow,125924,,,,,
20260804T204316Z_brown-rice-flour,brown-rice-flour,C,0.0,rotation,5,360.0,30.0,0.0011,0.0012,0.0001,lowflow,132522,,,,,
20260804T204316Z_brown-rice-flour,brown-rice-flour,C,45.0,rotation,0,360.0,30.0,0.0,0.0006,0.0006,,144193,,,,,
20260804T204316Z_brown-rice-flour,brown-rice-flour,C,45.0,rotation,1,360.0,30.0,0.0006,0.0006,0.0,lowflow,150601,,,,,
20260804T204316Z_brown-rice-flour,brown-rice-flour,C,45.0,rotation,2,360.0,30.0,0.0006,0.0007,0.0001,lowflow,157007,,,,,
20260804T204316Z_brown-rice-flour,brown-rice-flour,C,45.0,rotation,3,360.0,30.0,0.0007,0.001,0.0003,lowflow,163415,,,,,
20260804T204316Z_brown-rice-flour,brown-rice-flour,C,45.0,rotation,4,360.0,30.0,0.001,0.0012,0.0002,lowflow,169821,,,,,
20260804T204316Z_brown-rice-flour,brown-rice-flour,C,45.0,rotation,5,360.0,30.0,0.0012,0.0012,0.0,,176231,,,,,
20260804T204316Z_brown-rice-flour,brown-rice-flour,C,90.0,rotation,0,360.0,30.0,0.0,0.0,0.0,lowflow,187893,,,,,
20260804T204316Z_brown-rice-flour,brown-rice-flour,C,90.0,rotation,1,360.0,30.0,0.0,0.0,0.0,lowflow,194301,,,,,
20260804T204316Z_brown-rice-flour,brown-rice-flour,C,90.0,rotation,2,360.0,30.0,0.0,0.0,0.0,lowflow,200709,,,,,
20260804T204316Z_brown-rice-flour,brown-rice-flour,C,90.0,rotation,3,360.0,30.0,0.0,0.0007,0.0007,,207117,,,,,
20260804T204316Z_brown-rice-flour,brown-rice-flour,C,90.0,rotation,4,360.0,30.0,0.0007,0.0007,0.0,lowflow,213523,,,,,
20260804T204316Z_brown-rice-flour,brown-rice-flour,C,90.0,rotation,5,360.0,30.0,0.0007,0.0006,-0.0001,lowflow,219931,,,,,
20260804T204316Z_brown-rice-flour,brown-rice-flour,D,45.0,speed,0,3.0,15.0,0.0,0.0,0.0,,241169,,,,,
20260804T204316Z_brown-rice-flour,brown-rice-flour,D,45.0,speed,1,3.0,45.0,0.0,0.0,0.0,,248044,,,,,
20260804T204316Z_brown-rice-flour,brown-rice-flour,D,45.0,speed,2,3.0,90.0,0.0,0.0018,0.0018,,253303,,,,,
20260804T204316Z_brown-rice-flour,brown-rice-flour,E,0.0,refeed,0,360.0,30.0,0.0,0.0,0.0,lowflow,264976,,,,,
20260804T204316Z_brown-rice-flour,brown-rice-flour,E,0.0,tap,0,1,,0.0,0.0,0.0,,267372,,,,,
20260804T204316Z_brown-rice-flour,brown-rice-flour,E,0.0,refeed,1,360.0,30.0,0.0,0.0,0.0,lowflow,273777,,,,,
20260804T204316Z_brown-rice-flour,brown-rice-flour,E,0.0,tap,1,1,,0.0,0.0,0.0,,276160,,,,,
20260804T204316Z_brown-rice-flour,brown-rice-flour,E,0.0,refeed,2,360.0,30.0,0.0,0.0,0.0,lowflow,282566,,,,,
20260804T204316Z_brown-rice-flour,brown-rice-flour,E,0.0,tap,2,1,,0.0,0.0,0.0,,284962,,,,,
20260804T204316Z_brown-rice-flour,brown-rice-flour,E,0.0,refeed,3,360.0,30.0,0.0,0.0,0.0,lowflow,291368,,,,,
20260804T204316Z_brown-rice-flour,brown-rice-flour,E,0.0,tap,3,1,,0.0,0.0,0.0,,293767,,,,,
20260804T204316Z_brown-rice-flour,brown-rice-flour,E,0.0,refeed,4,360.0,30.0,0.0,0.0,0.0,,300171,,,,,
20260804T204316Z_brown-rice-flour,brown-rice-flour,E,0.0,tap,4,1,,0.0,0.0,0.0,,302553,,,,,
20260804T204316Z_brown-rice-flour,brown-rice-flour,E,0.0,refeed,5,360.0,30.0,0.0,0.0001,0.0001,,308962,,,,,
