started_utc,powder_id,batch,status,qc_valid,qc_verdict,A,B,C,D,E,F,doses_1g,doses_sub_g,dispensed_g,mongo_id
2026-08-04T20:43:16.183255+00:00,brown-rice-flour,food-safe-2026-08,ok,False,no-conveyance-auger-suspect,8,3,18,3,32,0,3,0,0.0095,6a7251ebc66ed0e4a95e6ab9
2026-08-04T21:14:22.351081+00:00,white-rice-flour,food-safe-2026-08,ok,True,ok,8,3,18,3,32,0,3,0,3.249,6a72616576d1d1c6005f7f7f
2026-08-04T22:49:37.985918+00:00,brown-rice-flour,food-safe-2026-08,ok,False,no-conveyance-auger-suspect,8,3,18,3,32,0,3,0,0.0043,6a726e25e3fbe78b9a11239c
2026-08-05T14:57:25.298344+00:00,sodium-alginate,food-safe-2026-08,ok,True,ok,8,3,18,3,32,0,3,0,2.4563,6a735ac28614fc51f1325347
2026-08-05T18:53:05.644181+00:00,brown-rice-flour,food-safe-2026-08,ok,True,conveying-slowly,8,3,18,3,32,0,3,0,0.0256,6a73883ed8b55b145a71406a
2026-08-05T20:00:02.433141+00:00,calcium-lactate,food-safe-2026-08,ok,True,ok,8,3,18,3,32,0,3,0,9.039,6a739ace81270b29eb5b8915
2026-08-05T21:52:52.010546+00:00,carboxymethyl-cellulose,food-safe-2026-08,ok,True,ok,8,3,18,3,32,0,3,0,3.5647,6a73ba214a50c12a43e4fd76
2026-08-06T14:02:54.080499+00:00,xanthan-gum,food-safe-2026-08,ok,True,ok,8,3,18,3,32,0,3,0,7.8836,6a7497dc1144cfd7ea7c11e8
2026-08-06T14:51:20.847638+00:00,salt,food-safe-2026-08,ok,True,ok,8,3,18,3,32,0,3,0,4.0081,6a74a34ff6b6d9a9eb068f91
2026-08-11T18:30:43.564056+00:00,alsi10mg,metal-2026-08,ok,False,no-tilt-servo-fault,8,3,18,3,32,0,3,0,5.9716,6a7b6f96289865549262ddac
2026-08-12T21:51:54.498951+00:00,salt,food-safe-2026-08,ok,True,ok,8,3,18,3,32,0,3,0,8.8914,6a7cee8ef04570b8af97ee27
2026-08-20T17:56:31Z,salt,food-safe-2026-08,truncated,False,environment-stress-test,8,3,18,3,16,0,0,0,4.5588,6a87472ba5dfec6360656340
2026-08-20T19:22:24.995883+00:00,sodium-sulfate,inorganic-2026-08,ok,True,ok,8,3,18,3,32,0,0,0,7.9117,6a8757a7072e3fb5b2146cac
2026-08-20T21:48:23.367756+00:00,silicon-110-200,metal-2026-08,ok,True,ok,8,3,18,3,32,0,0,0,7.719,6a8779b2101e166050e990fb
2026-08-21T15:13:37Z,alsi10mg,metal-2026-08,ok,True,ok,8,3,18,3,32,0,0,0,9.119,6a88707910e21c31b93b82c2
2026-08-21T16:18:38.225294+00:00,silicon-325,metal-2026-08,ok,True,conveying-slowly,8,3,18,3,32,0,3,0,0.0784,6a887e2713e173b6eb1d8950
2026-08-21T17:07:12.015465+00:00,barium-chloride,inorganic-2026-08,ok,True,ok,8,3,18,3,32,0,0,0,5.6197,6a888958f7f79cac25b6cff6
2026-08-21T18:27:05.961034+00:00,fumed-silica,inorganic-2026-08,ok,False,no-conveyance-outlet-unverified,8,3,18,3,32,0,0,0,0.5514,6a889c1c24b506a3f973c0f7
2026-08-21T19:20:31.212009+00:00,salt,food-safe-2026-08,ok,True,ok,8,3,18,3,32,0,0,0,6.3061,6a88a992a74cd6a9af55a28d
2026-09-01T16:46:58.958882+00:00,salt,,ok,False,unreviewed,0,0,0,0,0,0,1,0,-0.0389,6a97025021119262684581ca
2026-09-01T16:50:26.581178+00:00,salt,,ok,False,unreviewed,0,0,0,0,0,0,1,0,1.9963,6a970324467c700d5bcfcd51
2026-09-03T16:35:27.282874+00:00,salt,food-safe-2026-08,ok,False,doser-scale-unreadable,0,0,0,0,0,0,0,6,7.7709,6a99a3cb42801c63fd831214
2026-09-03T17:04:37.854828+00:00,salt,food-safe-2026-08,ok,False,doser-scale-unreadable,0,0,0,0,0,0,0,6,1.541,6a99aad7c88cfb60c95d8dcf
2026-09-03T21:40:49.956552+00:00,salt,food-safe-2026-08,ok,True,ok,0,0,0,0,0,0,0,6,0.7709,6a99eaa323c1048102c9aeb1
2026-09-04T00:18:21.628305+00:00,salt,food-safe-2026-08,ok,False,unreviewed,0,0,0,0,0,0,1,0,1.004,6a9a0fb9edb3a09ea05b95b6
2026-09-04T19:00:11.494223+00:00,white-rice-flour,food-safe-2026-08,ok,True,ok,0,0,0,0,0,0,0,6,0.7213,6a9b2055efd33cd60ac7a99b
2026-09-04T20:37:27.608249+00:00,xanthan-gum,food-safe-2026-08,ok,True,ok,0,0,0,0,0,0,0,6,0.812,6a9b2e06418eba44dae787bd
2026-09-08T17:27:30.646788+00:00,carboxymethyl-cellulose,food-safe-2026-08,ok,False,outlet-misaligned,0,0,0,0,0,0,0,6,0.6289,6aa0626bb0600af999bcc273
2026-09-08T19:42:01.071124+00:00,carboxymethyl-cellulose,food-safe-2026-08,ok,True,ok,0,0,0,0,0,0,0,6,0.6758,6aa0724d8fdca8d1acd72cce
2026-09-09T18:53:52.488407+00:00,sodium-alginate,food-safe-2026-08,ok,True,ok,0,0,0,0,0,0,0,6,0.3867,6aa1d1ab882690d556a9c132
2026-09-09T22:52:06.440326+00:00,calcium-lactate,food-safe-2026-08,capture-interrupted,True,ok,0,0,0,0,0,0,0,5,0.5679,6aa1ed98d73e09708a7023f4
2026-09-10T13:39:32.068188+00:00,sodium-sulfate,inorganic-2026-08,ok,True,ok,0,0,0,0,0,0,3,6,3.8565,6aa2b56a4c21fd11a9b89280
2026-09-10T17:08:58.309454+00:00,barium-chloride,inorganic-2026-08,ok,False,arching-no-feed,0,0,0,0,0,0,3,6,0.35,6aa2e65c2728f704c77c9274
2026-09-10T19:44:47.911573+00:00,alsi10mg,metal-2026-08,ok,True,ok,0,0,0,0,0,0,3,6,3.8192,6aa30ca184f38fe7b296e3e5
2026-09-10T21:29:20.709985+00:00,silicon-325,metal-2026-08,ok,True,conveying-slowly,0,0,0,0,0,0,3,6,0.0016,6aa3228e10a8006a37fbb5c2
