run_id,round,date_utc,started_utc,started_local,powder_id,display,batch,protocol,block,dose_n,dose_seq,target_mg,delivered_mg,error_mg,error_pct,abs_error_mg,time_s,status,pass_fw_status,pass_fw_abs5,pass_5pct,auger_rev_fw,stepper_rev,auger_rev_if_48_16,taps,bulk_cycles,fine_cycles,tap_cycles,phase_cycles,actuated,reconstructed,read_path,location,run_qc_valid,run_qc_verdict,dose_valid,invalid_reason,caveat,source,note,tare_warning_pan_g,tare_baseline_mg,tare_drift_mg_per_min,tare_read_noise_mg,bulk_gain_mg,bulk_end_s,bulk_skipped,fine_gain_mg,fine_end_s,fine_skipped,tap_gain_mg,tap_end_s,tap_skipped,nudges,no_flow_msg,last_trace_mass_g,last_trace_elapsed_s
20260804T204316Z_brown-rice-flour,1,2026-08-04,2026-08-04T20:43:16.183255+00:00,,brown-rice-flour,Brown rice flour,food-safe-2026-08,G,G,0,0,1000.0,0.8,-999.2,-99.92,999.2,6.0,stalled,False,False,False,4.58,10.076,3.359,0,15,,,bulk:15,True,False,read_stable,lab_pre_hood,False,no-conveyance-auger-suspect,False,run QC invalid: no-conveyance-auger-suspect,,git run JSON,,,,,,0.8,6.0,False,,,False,,,False,0,True,0.0008,6.0
20260804T204316Z_brown-rice-flour,1,2026-08-04,2026-08-04T20:43:16.183255+00:00,,brown-rice-flour,Brown rice flour,food-safe-2026-08,G,G,1,1,1000.0,0.0,-1000.0,-100.0,1000.0,5.0,stalled,False,False,False,4.58,10.076,3.359,0,16,,,bulk:16,True,False,read_stable,lab_pre_hood,False,no-conveyance-auger-suspect,False,run QC invalid: no-conveyance-auger-suspect,,git run JSON,,,,,,0.0,5.0,False,,,False,,,False,0,True,0.0,5.0
20260804T204316Z_brown-rice-flour,1,2026-08-04,2026-08-04T20:43:16.183255+00:00,,brown-rice-flour,Brown rice flour,food-safe-2026-08,G,G,2,2,1000.0,1.1,-998.9,-99.89,998.9,5.0,stalled,False,False,False,4.58,10.076,3.359,0,15,,,bulk:15,True,False,read_stable,lab_pre_hood,False,no-conveyance-auger-suspect,False,run QC invalid: no-conveyance-auger-suspect,,git run JSON,,,,,,1.1,5.0,False,,,False,,,False,0,True,0.0011,5.0
20260804T211422Z_white-rice-flour,1,2026-08-04,2026-08-04T21:14:22.351081+00:00,,white-rice-flour,White rice flour,food-safe-2026-08,G,G,0,0,1000.0,859.7,-140.3,-14.03,140.3,822.0,cycle-budget,False,False,False,38.75,85.25,28.417,0,51,200,,bulk:51;fine:200,True,False,read_stable,lab_pre_hood,True,ok,True,,,git run JSON,,,,,,420.0,18.0,False,439.7,822.0,False,,,False,0,False,0.8597,822.0
20260804T211422Z_white-rice-flour,1,2026-08-04,2026-08-04T21:14:22.351081+00:00,,white-rice-flour,White rice flour,food-safe-2026-08,G,G,1,1,1000.0,839.9,-160.1,-16.01,160.1,825.0,cycle-budget,False,False,False,37.83,83.226,27.742,0,48,200,,bulk:48;fine:200,True,False,read_stable,lab_pre_hood,True,ok,True,,,git run JSON,,,,,,421.2,17.0,False,418.7,825.0,False,,,False,0,False,0.8399,825.0
20260804T211422Z_white-rice-flour,1,2026-08-04,2026-08-04T21:14:22.351081+00:00,,white-rice-flour,White rice flour,food-safe-2026-08,G,G,2,2,1000.0,886.8,-113.2,-11.32,113.2,818.0,cycle-budget,False,False,False,34.17,75.174,25.058,0,36,200,,bulk:36;fine:200,True,False,read_stable,lab_pre_hood,True,ok,True,,,git run JSON,,,,,,416.7,14.0,False,470.1,818.0,False,,,False,0,False,0.8868,818.0
20260804T224937Z_brown-rice-flour,1,2026-08-04,2026-08-04T22:49:37.985918+00:00,,brown-rice-flour,Brown rice flour,food-safe-2026-08,G,G,0,0,1000.0,0.0,-1000.0,-100.0,1000.0,6.0,stalled,False,False,False,4.58,10.076,3.359,0,16,,,bulk:16,True,False,read_stable,lab_pre_hood,False,no-conveyance-auger-suspect,False,run QC invalid: no-conveyance-auger-suspect,,git run JSON,,,,,,,,,,,,,,,,,,
20260804T224937Z_brown-rice-flour,1,2026-08-04,2026-08-04T22:49:37.985918+00:00,,brown-rice-flour,Brown rice flour,food-safe-2026-08,G,G,1,1,1000.0,0.0,-1000.0,-100.0,1000.0,5.0,stalled,False,False,False,4.58,10.076,3.359,0,16,,,bulk:16,True,False,read_stable,lab_pre_hood,False,no-conveyance-auger-suspect,False,run QC invalid: no-conveyance-auger-suspect,,git run JSON,,,,,,,,,,,,,,,,,,
20260804T224937Z_brown-rice-flour,1,2026-08-04,2026-08-04T22:49:37.985918+00:00,,brown-rice-flour,Brown rice flour,food-safe-2026-08,G,G,2,2,1000.0,0.0,-1000.0,-100.0,1000.0,5.0,stalled,False,False,False,4.58,10.076,3.359,0,15,,,bulk:15,True,False,read_stable,lab_pre_hood,False,no-conveyance-auger-suspect,False,run QC invalid: no-conveyance-auger-suspect,,git run JSON,,,,,,,,,,,,,,,,,,
20260805T145725Z_sodium-alginate,1,2026-08-05,2026-08-05T14:57:25.298344+00:00,,sodium-alginate,Sodium alginate,food-safe-2026-08,G,G,0,0,1000.0,728.5,-271.5,-27.15,271.5,836.0,cycle-budget,False,False,False,52.5,115.5,38.5,0,103,200,,bulk:103;fine:200,True,False,read_stable,lab_pre_hood,True,ok,True,,,git run JSON,,,,,,395.8,32.0,False,332.7,836.0,False,,,False,0,False,0.7285,836.0
