powder_id,display,track,run_id,qc_valid,qc_verdict,noise_floor_mg,mg_rev_tilt0,mg_rev_tilt45,mg_rev_tilt90,rsd_pct_tilt45,gravity_assist,censored,mg_s_ref_30rpm_tilt45,mg_s_15rpm,mg_s_45rpm,mg_s_90rpm,mg_rev_15rpm,mg_rev_45rpm,mg_rev_90rpm,speed_exponent_alpha,speed_exponent_r2,mg_per_tap_tilt0,mg_per_tap_tilt45,tap_resolvable,hold15s_tilt90_mg
alsi10mg,AlSi10Mg,research,20260821T151337Z_alsi10mg,True,ok,48.1,48.93,230.95,338.93,13.5,6.93,False,115.475,57.6,149.1,177.1,230.3,198.8,118.1,0.649,0.938,5.89,-1.91,False,40.2
silicon-110-200,Si (110/200 mesh),research,20260820T214823Z_silicon-110-200,True,ok,29.0,57.17,210.7,302.35,7.0,5.29,False,105.35,49.3,125.9,204.2,197.3,167.9,136.2,0.798,0.997,-3.72,-3.52,False,46.4
sodium-sulfate,Sodium sulfate,research,20260820T192224Z_sodium-sulfate,True,ok,42.0,51.2,208.4,243.55,15.4,4.76,False,104.2,68.5,128.0,212.6,274.1,170.7,141.8,0.626,0.995,7.9,9.34,False,-20.1
calcium-lactate,Calcium lactate,surrogate,20260805T200002Z_calcium-lactate,True,ok,0.5,47.32,198.28,232.25,2.2,4.91,False,99.142,41.5,98.1,167.9,165.9,130.8,112.0,0.781,1.0,2.31,20.36,True,0.0
barium-chloride,Barium chloride,research,20260821T170712Z_barium-chloride,True,ok,0.5,23.28,184.7,200.38,17.2,8.61,False,92.35,42.3,21.9,132.3,169.0,29.2,88.2,0.525,0.271,0.06,2.12,True,0.0
xanthan-gum,Xanthan gum,surrogate,20260806T140254Z_xanthan-gum,True,ok,0.5,23.72,161.18,186.77,12.1,7.87,False,80.592,50.8,81.4,138.3,203.3,108.6,92.2,0.547,0.974,0.15,13.61,True,0.0
salt,NaCl (control),surrogate,20260821T192031Z_salt,True,ok,6.8,38.0,146.48,265.17,18.3,6.98,False,73.242,39.9,106.2,159.6,159.8,141.6,106.4,0.784,0.989,8.98,-4.1,True,3.3
carboxymethyl-cellulose,CMC,surrogate,20260805T215252Z_carboxymethyl-cellulose,True,ok,0.5,2.58,26.35,9.35,9.1,3.62,False,13.175,5.1,19.9,37.7,20.4,26.6,25.1,1.128,0.994,0.01,0.15,False,0.0
white-rice-flour,White rice flour,surrogate,20260804T211422Z_white-rice-flour,True,ok,0.5,3.75,12.78,37.15,37.5,9.91,False,6.392,4.2,15.7,48.4,16.6,21.0,32.3,1.356,0.994,0.09,0.11,False,0.0
sodium-alginate,Sodium alginate,surrogate,20260805T145725Z_sodium-alginate,True,ok,0.5,0.75,9.58,10.87,7.9,14.49,False,4.792,2.4,7.6,16.9,9.6,10.1,11.3,1.084,0.999,0.0,0.24,False,0.0
fumed-silica,Fumed silica,research,20260821T182705Z_fumed-silica,False,no-conveyance-outlet-unverified,6.1,2.52,2.72,5.57,524.5,2.21,True,0.125,-1.1,-1.1,8.5,-4.6,-1.4,5.7,,,32.18,1.85,False,1.5
brown-rice-flour,Brown rice flour,surrogate,20260805T185305Z_brown-rice-flour,True,conveying-slowly,0.5,0.3,0.25,0.2,225.9,,True,0.15,0.0,0.0,1.1,0.0,0.0,0.8,,,0.05,0.16,False,0.0
silicon-325,Si (-325 mesh),research,20260821T161838Z_silicon-325,True,conveying-slowly,0.5,0.0,0.0,1.2,,,True,0.6,1.2,2.3,5.5,4.6,3.0,3.7,0.848,0.957,-0.04,0.55,True,0.0
